HMS,StructuredFormula,Temperature,Pressure,crystal_system
P n m a,La0.1Ca0.9Mn0.8Ti0.2O3,293,0.101325,orthorhombic
P n m a,La0.1Ca0.9Mn0.6Ti0.4O3,293,0.101325,orthorhombic
P n m a,La0.1Ca0.9Mn0.4Ti0.6O3,293,0.101325,orthorhombic
P n m a,La0.1Ca0.9Mn0.2Ti0.8O3,293,0.101325,orthorhombic
P n m a,La0.1Ca0.9Mn0.1Ti0.9O3,293,0.101325,orthorhombic
P b n m,La0.64032Tb0.02668Ca0.333Mn1O3,293,0.101325,orthorhombic
P b n m,La0.616975Tb0.050025Ca0.333Mn1O3,293,0.101325,orthorhombic
P b n m,La0.56695Tb0.10005Ca0.333Mn1O3,293,0.101325,orthorhombic
P b n m,La0.50025Tb0.16675Ca0.333Mn1O3,293,0.101325,orthorhombic
P b n m,La0.44689Tb0.22011Ca0.333Mn1O3,293,0.101325,orthorhombic
